"CrossingID","StateName","Latitude","Longitude"
"465450G","NC","35.5225738","-77.1180803"
"465451N","NC","35.5281097","-77.1296121"
"465452V","NC","35.530502","-77.134724"
"465453C","NC","35.536731","-77.148025"
"465454J","NC","35.538012","-77.150763"
"465455R","NC","35.554773","-77.174648"
"465456X","NC","35.557206","-77.177901"
"465457E","NC","35.561524","-77.183674"
"465458L","NC","35.564937","-77.188411"
"465459T","NC","35.5650250","-77.1891400"
"465461U","NC","35.566409","-77.191933"
"465462B","NC","35.568605","-77.197232"
"465463H","NC","35.569877","-77.203962"
"465464P","NC","35.569923","-77.204496"
"465465W","NC","35.5705180","-77.2132570"
"465466D","NC","35.571162","-77.218456"
"465467K","NC","35.571746","-77.224992"
"465468S","NC","35.572174","-77.244469"
"465469Y","NC","35.572956","-77.256311"
"465470T","NC","35.573248","-77.260726"
"465471A","NC","35.573292","-77.261384"
"465472G","NC","35.574074","-77.273181"
"465473N","NC","35.574421","-77.276274"
"465475C","NC","35.574994","-77.279669"
"465476J","NC","35.577477","-77.294365"
"465479E","NC","35.578699","-77.301593"
"465480Y","NC","35.579265","-77.304941"
"465481F","NC","35.579719","-77.307641"
"465482M","NC","35.580741","-77.313678"
"465483U","NC","35.583209","-77.328308"
"465484B","NC","35.584081","-77.333483"
"465485H","NC","35.584145","-77.333864"
"465486P","NC","35.5842630","-77.3367770"
"465488D","NC","35.589377","-77.346631"
"465489K","NC","35.590033","-77.347823"
"465490E","NC","35.592142","-77.351625"
"465491L","NC","35.596859","-77.360136"
"465492T","NC","35.597984","-77.362586"
"465493A","NC","35.599817","-77.370657"
"465494G","NC","35.5993960","-77.3695060"
"465495N","NC","35.600688","-77.375691"
"465496V","NC","35.6008340","-77.3791280"
"465497C","NC","35.6012720","-077.3798310"
"465506Y","NC","35.601615","-77.381035"
"465507F","NC","35.5989840","-77.4137120"
"465508M","NC","35.6013180","-77.3861240"
"465509U","NC","35.6012190","-77.3874360"
"465510N","NC","35.601257","-77.391084"
"465511V","NC","35.6007310","-77.3929290"
"465512C","NC","35.600851","-77.395891"
"465513J","NC","35.600546","-77.399456"
"465514R","NC","35.600235","-77.403112"
"465515X","NC","35.599755","-77.408722"
"465516E","NC","35.599033","-77.417233"
"465517L","NC","35.598084","-77.424891"
"465518T","NC","35.597577","-77.429476"
"465521B","NC","35.596472","-77.447689"
"465523P","NC","35.593274","-77.485822"
"465524W","NC","35.592089","-77.499967"
"465525D","NC","35.590124","-77.513272"
"465526K","NC","35.589639","-77.516275"
"465527S","NC","35.588296","-77.524604"
"465528Y","NC","35.587902","-77.527031"
"465529F","NC","35.586348","-77.536619"
"465530A","NC","35.585405","-77.546342"
"465531G","NC","35.586922","-77.555118"
"465533V","NC","35.587688","-77.559543"
"465534C","NC","35.588124","-77.562051"
"465535J","NC","35.588819","-77.566076"
"465536R","NC","35.589806","-77.571784"
"465537X","NC","35.590454","-77.575521"
"465538E","NC","35.591001","-77.578685"
"465539L","NC","35.591731","-77.582907"
"465540F","NC","35.592885","-77.589568"
"465541M","NC","35.593146","-77.591111"
"465542U","NC","35.593444","-77.592823"
"465543B","NC","35.593839","-77.596167"
"465544H","NC","35.592643","-77.623041"
"465545P","NC","35.592506","-77.626071"
"465546W","NC","35.592322","-77.630146"
"465547D","NC","35.592079","-77.635507"
"465548K","NC","35.591407","-77.650466"
"465549S","NC","35.592749","-77.677907"
"465560S","NC","35.593218","-77.683977"
"465562F","NC","35.594115","-77.695557"
"465563M","NC","35.594257","-77.697401"
"465564U","NC","35.594317","-77.698175"
"465566H","NC","35.595707","-77.733532"
"465567P","NC","35.595655","-77.739574"
"465568W","NC","35.595628","-77.742693"
"465569D","NC","35.595605","-77.745161"
"465571E","NC","35.595487","-77.759053"
"465572L","NC","35.595343","-77.775225"
"465573T","NC","35.595278","-77.782251"
"465574A","NC","35.595971","-77.790793"
"465576N","NC","35.600406","-77.809414"
"465577V","NC","35.601613","-77.814484"
"465578C","NC","35.605261","-77.821513"
"465579J","NC","35.607085","-77.822871"
"465580D","NC","35.616901","-77.830168"
"465581K","NC","35.607919","-77.823492"
"465582S","NC","35.620591","-77.832909"
"465583Y","NC","35.626891","-77.837592"
"465584F","NC","35.635542","-77.844027"
"465586U","NC","35.652487","-77.857904"
"465587B","NC","35.6547520","-77.8603360"
"465588H","NC","35.657641","-77.862768"
"465589P","NC","35.6698480","-77.8742060"
"465590J","NC","35.673628","-77.877407"
"465591R","NC","35.6762320","-77.8800010"
"465592X","NC","35.683129","-77.886045"
"465593E","NC","35.684583","-77.887362"
"465594L","NC","35.6856820","-77.8885740"
"465595T","NC","35.688278","-77.890723"
"465596A","NC","35.696219","-77.897949"
"465597G","NC","35.704523","-77.905506"
"465598N","NC","35.708031","-77.908709"
"465599V","NC","35.709223","-77.909788"
"465600M","NC","35.717295","-77.917129"
"465601U","NC","35.718469","-77.917936"
"465602B","NC","35.719442","-77.918414"
"465603H","NC","35.720562","-77.918966"
"465604P","NC","35.722121","-77.920061"
"465605W","NC","35.725489","-77.922549"
"465606D","NC","35.726539","-77.923382"
"465607K","NC","35.727947","-77.925429"
"465608S","NC","35.731689","-77.935009"
"465609Y","NC","35.734219","-77.945261"
"465611A","NC","35.735779","-77.952184"
"465612G","NC","35.739274","-77.967685"
"465613N","NC","35.740711","-77.974079"
"465614V","NC","35.743212","-77.985199"
"465615C","NC","35.744308","-77.990074"
"465616J","NC","35.748646","-78.009365"
"465617R","NC","35.753186","-78.029561"
"465618X","NC","35.7540040","-78.0324560"
"465619E","NC","35.755381","-78.039324"
"465620Y","NC","35.756689","-78.045162"
"465622M","NC","35.758139","-78.051607"
"465623U","NC","35.759887","-78.058536"
"465624B","NC","35.760179","-78.059343"
"465625H","NC","35.6482510","-78.0021740"
"465626P","NC","35.767319","-78.084514"
"465627W","NC","35.7711450","-78.0916350"
"465628D","NC","35.773768","-78.096733"
"465629K","NC","35.776561","-78.109505"
"465630E","NC","35.778179","-78.115669"
"465631L","NC","35.779123","-78.117819"
"465632T","NC","35.779897","-78.119581"
"465633A","NC","35.780899","-78.122146"
"465634G","NC","35.781361","-78.125786"
"465635N","NC","35.780869","-78.134635"
"465636V","NC","35.779818","-78.140142"
"465637C","NC","35.7761250","-78.1517170"
"465638J","NC","35.784763","-78.186247"
"465639R","NC","35.786546","-78.193856"
"465640K","NC","35.788907","-78.203941"
"465641S","NC","35.789822","-78.207854"
"465642Y","NC","35.790439","-78.210493"
"465643F","NC","35.790647","-78.218238"
"465644M","NC","35.791191","-78.230797"
"465645U","NC","35.814033","-78.268547"
"465646B","NC","35.8165140","-78.2735560"
"465647H","NC","35.827079","-78.291719"
"465648P","NC","35.825395","-78.301558"
"465649W","NC","35.825291","-78.303137"
"465650R","NC","35.820716","-78.312257"
"465651X","NC","35.818689","-78.316886"
"465652E","NC","35.810288","-78.328962"
"465653L","NC","35.8004910","-78.3335720"
"465654T","NC","35.786679","-78.346016"
"465655A","NC","35.784691","-78.348012"
"465656G","NC","35.782418","-78.355062"
"465657N","NC","35.781645","-78.362374"
"465658V","NC","35.781852","-78.366338"
"465659C","NC","35.781932","-78.367509"
"465660W","NC","35.782014","-78.368656"
"465661D","NC","35.782092","-78.369808"
"465662K","NC","35.782173","-78.370988"
"465663S","NC","35.782397","-78.374236"
"465664Y","NC","35.782539","-78.376328"
"465667U","NC","35.785789","-78.383998"
"465668B","NC","35.787725","-78.388468"
"465669H","NC","35.791528","-78.408089"
"465670C","NC","35.790569","-78.406313"
"465671J","NC","35.794445","-78.419471"
"465672R","NC","35.7969210","-78.4317940"
"465673X","NC","35.785878","-78.447549"
"465675L","NC","35.786977","-78.454119"
"465676T","NC","35.788251","-78.456401"
"465677A","NC","35.790014","-78.460885"
"465679N","NC","35.792586","-78.475676"
"465680H","NC","35.789881","-78.478734"
"465681P","NC","35.787904","-78.480447"
"465682W","NC","35.787287","-78.482016"
"465683D","NC","35.786099","-78.485699"
"465684K","NC","35.7861270","-78.4857030"
"465685S","NC","35.783651","-78.499797"
"465686Y","NC","35.777802","-78.525703"
"465687F","NC","35.783286","-78.561258"
"465688M","NC","35.791518","-78.585911"
"465689U","NC","35.791541","-78.586149"
"465690N","NC","35.7965895","-78.592132"
"465691V","NC","35.798706","-78.593126"
"465692C","NC","35.8082971","-78.6033585"
"465693J","NC","36.0894580","-76.5829470"
"465694R","NC","36.0821690","-76.5909880"
"465695X","NC","36.0663070","-76.6097870"
"465696E","NC","36.0663070","-76.6097870"
"465697L","NC","36.0672650","-76.6084900"
"465698T","NC","36.0695610","-76.6061100"
"465699A","NC","36.0716290","-76.6037890"
"465700S","NC","36.0728700","-76.6021990"
"465701Y","NC","36.0747110","-76.5999760"
"465704U","NC","35.602284","-77.378521"
"465705B","NC","35.603309","-77.378283"
"465706H","NC","35.604342","-77.378016"
"465707P","NC","35.605497","-77.377721"
"465708W","NC","35.6065642","-077.3774472"
"465709D","NC","35.6076161","-077.3772025"
"465710X","NC","35.6007800","-77.5937500"
"465711E","NC","35.6025200","-77.5935590"
"465713T","NC","35.5992430","-77.5939410"
"465720D","NC","35.720641","-77.916624"
"465721K","NC","35.720574","-77.914979"
"465722S","NC","35.721353","-77.913482"
"465725M","NC","35.8086579","-78.6146169"
"465726U","NC","35.8079545","-78.6168317"
"465727B","NC","35.8082550","-78.6153660"
"465729P","NC","35.8044851","-78.6252314"
"465730J","NC","35.7995432","-78.6397673"
"465731R","NC","35.2992647","-79.6844346"
"465732X","NC","35.3004860","-79.6699120"
"465733E","NC","35.3013347","-79.6713715"
"465734L","NC","35.2938360","-79.6583670"
"465735T","NC","35.2926210","-79.6562870"
"465736A","NC","35.296676","-79.6626575"
"465737G","NC","35.2953485","-79.6604093"
"465738N","NC","35.2926199","-79.6558008"
"465739V","NC","35.2917812","-79.654341"
"465740P","NC","35.29135020","-79.65291970"
"465741W","NC","35.290705","-79.6484478"
"465742D","NC","35.2860740","-79.6341610"
"465743K","NC","35.2895689","-79.6400932"
"465744S","NC","35.2880499","-79.6356031"
"465745Y","NC","35.284689","-79.63247370"
"465746F","NC","35.2804660","-79.6219490"
"465747M","NC","35.2809321","-79.6238083"
"465748U","NC","35.2784412","-79.6156615"
"465749B","NC","35.2777585","-79.6140405"
"465750V","NC","35.26899160","-79.60617990"
"465751C","NC","35.26304720","-79.58533110"
"465752J","NC","35.2600625","-79.5819575"
"465753R","NC","35.2513580","-79.5757400"
"465754X","NC","35.2549355","-79.5770267"
"465755E","NC","35.2534133","-79.5762929"
"465756L","NC","35.2502743","-79.5748392"
"465757T","NC","35.2490963","-79.5739905"
"465758A","NC","35.24602280","-79.57154750"
"465759G","NC","35.2393610","-79.5689990"
"465760B","NC","35.2376200","-79.5686020"
"465761H","NC","35.2397850","-079.5688710"
"465762P","NC","35.236893","-79.568295"
"465763W","NC","35.2304641","-79.5657568"
"465764D","NC","35.2262180","-79.5556100"
"465765K","NC","35.227243","-79.559275"
"465766S","NC","35.2261379","-79.5534549"
"465767Y","NC","35.2203604","-79.5286273"
"465768F","NC","35.2123965","-79.5200652"
"465769M","NC","35.192390","-79.494463"
"465770G","NC","35.19239470","-79.48341450"
"465771N","NC","35.19198870","-79.47770440"
"465772V","NC","35.1912697","-79.4746431"
"465773C","NC","35.1904297","-79.4718573"
"465774J","NC","35.1882745","-79.4697836"
"465775R","NC","35.1821670","-79.4674040"
"465776X","NC","35.1850227","-79.4677913"
"465778L","NC","35.18483580","-79.46770610"
"465779T","NC","35.181592","-79.467695"
"465780M","NC","35.178933","-79.468376"
"465781U","NC","35.17558030","-79.46974120"
"465782B","NC","35.172046","-79.471486"
"465784P","NC","35.7772102","-78.6514895"
"465785W","NC","35.774245","-78.656006"
"465786D","NC","35.7703988","-78.6596007"
"465787K","NC","35.7701726","-78.6596322"
"465788S","NC","35.7664279","-78.6599093"
"465789Y","NC","35.762147","-78.659259"
"465790T","NC","35.761450","-78.659038"
"465791A","NC","35.746335","-78.656024"
"465792G","NC","35.736560","-78.662570"
"465793N","NC","35.730433","-78.663646"
"465794V","NC","35.7123923","-78.6651214"
"465795C","NC","35.704358","-78.663929"
"465796J","NC","35.6931068","-78.6640461"
"465797R","NC","35.6632504","-78.6882131"
"465798X","NC","35.658648","-78.69243"
"465799E","NC","35.652072","-78.6977431"
"465800W","NC","35.635256","-78.712284"
"465801D","NC","35.6292088","-78.7161184"
"465802K","NC","35.611593","-78.724278"
"465803S","NC","35.6243764","-78.7178861"
"465804Y","NC","35.5977604","-78.7305812"
"465805F","NC","35.595553","-78.731730"
"465806M","NC","35.5972790","-78.7998280"
"465807U","NC","35.5909498","-78.7418271"
"465808B","NC","35.5982648","-78.7567576"
"465809H","NC","35.596811","-78.763503"
"465810C","NC","35.5972790","-78.7998280"
"465811J","NC","35.5972790","-78.7998280"
"465812R","NC","35.593662","-78.774027"
"465813X","NC","35.5972790","-78.7998280"
"465814E","NC","35.592527","-78.779132"
"465815L","NC","35.592343","-78.793048"
"465816T","NC","35.591861","-78.799068"
"465817A","NC","35.5887894","-78.8062615"
"465818G","NC","35.5879026","-78.8083438"
"465819N","NC","35.5860498","-78.8126858"
"465820H","NC","35.5816073","-78.8231038"
"465821P","NC","35.5836560","-78.8182910"
"465822W","NC","35.8065680","-78.9298710"
"465823D","NC","35.5727915","-78.8437702"
"465824K","NC","35.5893590","-78.8001020"
"465825S","NC","35.589233","-78.799641"
"465826Y","NC","35.5866620","-78.8016660"
"465827F","NC","35.584386","-78.802438"
"465828M","NC","35.5830310","-78.8050460"
"465830N","NC","35.5741690","-78.8165070"
"465831V","NC","35.56291540","-78.82358650"
"465832C","NC","35.5581101","-78.8236226"
"465833J","NC","35.549598","-78.823242"
"465834R","NC","35.5469676","-78.8216547"
"465835X","NC","35.5441546","-78.8198729"
"465836E","NC","35.54087860","-78.817797"
"465837L","NC","35.53694760","-78.81617590"
"465838T","NC","35.53048150","-78.81573550"
"465839A","NC","35.5235484","-78.81527"
"465840U","NC","35.513770","-78.814770"
"465841B","NC","35.50831630","-78.81497630"
"465842H","NC","35.5026670","-78.8154080"
"465843P","NC","35.49741120","-78.814031"
"465844W","NC","35.4972980","-78.8140520"
"465845D","NC","35.49592010","-78.81363170"
"465846K","NC","35.49086930","-78.81510330"
"465847S","NC","35.4871286","-78.8168534"
"465848Y","NC","35.4869265","-78.8169477"
"465849F","NC","35.4853626","-78.8176801"
"465850A","NC","35.4809850","-78.8199440"
"465851G","NC","35.4786376","-078.8208323"
